target_language,optimization_type,strategy,best_languages,best_clusters,score,num_languages,language_selection_by_cluster
ru,simple,winner,"['myv', 'arg', 'scn', 'smj', 'ron', 'ast', 'lij', 'sma', 'vep', 'est', 'lmo', 'ext', 'izh', 'mdf', 'fra', 'hun', 'krl', 'sme', 'srd', 'fin', 'lad', 'smn', 'mwl', 'cos', 'cat', 'nap', 'ita', 'glg', 'pms', 'spa', 'udm', 'liv', 'sms', 'por', 'kpv', 'vec']","[4, 14]",5.237819711399428,36,
ja,simple,max_distance,"['por', 'fin', 'mwl', 'pms', 'scn', 'lad', 'lij', 'liv', 'ext', 'ast', 'myv', 'cat', 'krl', 'vec', 'srd', 'ron', 'sme', 'smj', 'cos', 'kpv', 'arg', 'lmo', 'nap', 'est', 'ita', 'spa', 'mdf', 'vep', 'sma', 'sms', 'izh', 'fra', 'udm', 'hun', 'glg', 'smn']","[4, 14]",1.0,36,
ja,simple,min_distance,"['por', 'fin', 'mwl', 'pms', 'scn', 'lad', 'lij', 'liv', 'ext', 'ast', 'myv', 'cat', 'krl', 'vec', 'srd', 'ron', 'sme', 'smj', 'cos', 'kpv', 'arg', 'lmo', 'nap', 'est', 'ita', 'spa', 'mdf', 'vep', 'sma', 'sms', 'izh', 'fra', 'udm', 'hun', 'glg', 'smn']","[4, 14]",0.0,36,
ja,simple,diversity,"['por', 'fin', 'mwl', 'pms', 'scn', 'lad', 'lij', 'liv', 'ext', 'ast', 'myv', 'cat', 'krl', 'vec', 'srd', 'ron', 'sme', 'smj', 'cos', 'kpv', 'arg', 'lmo', 'nap', 'est', 'ita', 'spa', 'mdf', 'vep', 'sma', 'sms', 'izh', 'fra', 'udm', 'hun', 'glg', 'smn']","[4, 14]",0.0,36,
ja,simple,gp_learning,"['por', 'fin', 'mwl', 'pms', 'scn', 'lad', 'lij', 'liv', 'ext', 'ast', 'myv', 'cat', 'krl', 'vec', 'srd', 'ron', 'sme', 'smj', 'cos', 'kpv', 'arg', 'lmo', 'nap', 'est', 'ita', 'spa', 'mdf', 'vep', 'sma', 'sms', 'izh', 'fra', 'udm', 'hun', 'glg', 'smn']","[4, 14]",5.25,36,
ja,simple,winner,"['por', 'fin', 'mwl', 'pms', 'scn', 'lad', 'lij', 'liv', 'ext', 'ast', 'myv', 'cat', 'krl', 'vec', 'srd', 'ron', 'sme', 'smj', 'cos', 'kpv', 'arg', 'lmo', 'nap', 'est', 'ita', 'spa', 'mdf', 'vep', 'sma', 'sms', 'izh', 'fra', 'udm', 'hun', 'glg', 'smn']","[4, 14]",5.25,36,
nl,simple,max_distance,"['sms', 'tur', 'smj', 'kaz', 'fin', 'hun', 'kir', 'smn', 'uzb', 'izh', 'vep', 'est', 'aze', 'uig', 'liv', 'udm', 'kpv', 'sma', 'mdf', 'krl', 'myv', 'sme']","[4, 8]",1.0,22,
nl,simple,min_distance,"['fao', 'afr', 'swe', 'nor', 'deu', 'dan', 'isl', 'eng', 'ltz']",[3],0.3508444444444445,9,
nl,simple,diversity,"['fao', 'afr', 'uzb', 'kaz', 'swe', 'nor', 'deu', 'dan', 'isl', 'aze', 'uig', 'eng', 'kir', 'tur', 'ltz']","[3, 8]",0.33278185638446756,15,
nl,simple,gp_learning,"['ita', 'cos', 'sms', 'nap', 'vec', 'smj', 'pms', 'ast', 'lad', 'fin', 'hun', 'mwl', 'arg', 'smn', 'izh', 'vep', 'est', 'lij', 'cat', 'ext', 'spa', 'liv', 'udm', 'glg', 'lmo', 'ron', 'kpv', 'srd', 'scn', 'sma', 'fra', 'mdf', 'krl', 'por', 'myv', 'sme']","[4, 14]",5.2418880368761185,36,
nl,simple,winner,"['ita', 'cos', 'sms', 'nap', 'vec', 'smj', 'pms', 'ast', 'lad', 'fin', 'hun', 'mwl', 'arg', 'smn', 'izh', 'vep', 'est', 'lij', 'cat', 'ext', 'spa', 'liv', 'udm', 'glg', 'lmo', 'ron', 'kpv', 'srd', 'scn', 'sma', 'fra', 'mdf', 'krl', 'por', 'myv', 'sme']","[4, 14]",5.2418880368761185,36,
bn,simple,max_distance,"['liv', 'myv', 'kir', 'tur', 'kpv', 'smj', 'sme', 'uzb', 'kaz', 'izh', 'hun', 'uig', 'sms', 'sma', 'krl', 'fin', 'aze', 'smn', 'udm', 'mdf', 'est', 'vep']","[4, 8]",1.0,22,
bn,simple,min_distance,"['ori', 'asm', 'sin', 'tgk', 'urd', 'fas', 'pan', 'mar', 'guj', 'hin', 'nep']",[1],0.33602727272727273,11,
